league,source,home_team,away_team,over_1_5,over_2_5,over_3_5,home_over_1_5,away_over_1_5,xg,home_h2h,draw_h2h,away_h2h,score,g_h,g_a,total_goals,r_1_5,r_2_5,r_home_1_5,r_away_1_5,win
Ligue 1,ud,Lens,Lyon,0.9826487347633356,0.938031195583341,0.8487961172233521,0.938031195583341,0.0,6.0,0.0,0.0,0.0,0–0,0,0,0,0.0,0.0,0.0,0.0,E
Ligue 1,ud,Saint-Étienne,Lille,0.9084218055563292,0.7618966944464556,0.566529879633291,0.0,0.7618966944464556,4.0,0.0,0.0,0.0,1–0,1,0,1,0.0,0.0,0.0,0.0,H
Ligue 1,ud,Marseille,Nice,0.9919488969303396,0.94724850176233,0.8284667762658491,0.5768099188731564,0.8753479805169189,8.0,0.0,0.0,0.0,2–0,2,0,2,1.0,0.0,1.0,0.0,H
Ligue 1,ud,Paris S-G,Brest,0.9999201252394068,0.9994777419499672,0.9977082087922086,0.9994777419499672,0.0,12.0,0.0,0.0,0.0,3–1,3,1,4,1.0,1.0,1.0,0.0,H
Ligue 1,ud,Rennes,Montpellier,0.9999997106303848,0.9999972433736662,0.9999824398333544,0.9999972433736662,0.0,18.0,0.0,0.0,0.0,3–0,3,0,3,1.0,1.0,1.0,0.0,H
Ligue 1,ud,Nantes,Reims,0.9084218055563292,0.7618966944464556,0.566529879633291,0.7618966944464556,0.0,4.0,0.0,0.0,0.0,1–2,1,2,3,1.0,1.0,0.0,1.0,A
Ligue 1,ud,Toulouse,Le Havre,0.8008517265285442,0.5768099188731564,0.3527681112177687,0.0,0.5768099188731564,3.0,0.0,0.0,0.0,2–0,2,0,2,1.0,0.0,1.0,0.0,H
Ligue 1,ud,Strasbourg,Angers,0.9826487347633356,0.938031195583341,0.8487961172233521,0.938031195583341,0.0,6.0,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
Bundesliga_2,fbxg,Schalke 04,Köln,0.99979724099234,0.9981260152322348,0.9911407284767622,0.9972306042844884,0.3233235838169366,12.0,0.0,0.0,0.0,1–3,1,3,4,1.0,1.0,0.0,1.0,A
Bundesliga_2,fbxg,Braunschweig,Karlsruher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1–2,1,2,3,1.0,1.0,0.0,1.0,A
Bundesliga_2,fbxg,Paderborn 07,Ulm,0.8008517265285442,0.5768099188731564,0.3527681112177687,0.5768099188731564,0.0,3.0,0.0,0.0,0.0,0–0,0,0,0,0.0,0.0,0.0,0.0,E
Bundesliga_2,fbxg,Preußen Münster,Paderborn 07,0.1733585327032243,0.0405054397448139,0.0072921665052112,0.0,0.0405054397448139,0.75,0.0,0.0,0.0,3–3,3,3,6,1.0,1.0,1.0,1.0,E
