Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,xG per Game,xGA per Game,xPTS per Game,xG per Game Diff,xGA per Game Diff,M_x,W_x,D_x,L_x,G_x,GA_x,PTS_x,xG_x,xGA_x,xPTS_x,xG per Game_x,xGA per Game_x,xPTS per Game_x,xG per Game Diff_x,xGA per Game Diff_x,M_y,W_y,D_y,L_y,G_y,GA_y,PTS_y,xG_y,xGA_y,xPTS_y,xG per Game_y,xGA per Game_y,xPTS per Game_y,xG per Game Diff_y,xGA per Game Diff_y
Atalanta,6.0,2.0,1.0,3.0,11.0,12.0,7.0,12.968630000000001,9.392141,10.8014,2.1614383333333334,1.5653568333333334,1.8002333333333331,-0.3281050000000001,-0.4346431666666666,2.0,1.0,0.0,1.0,5.0,5.0,3.0,3.76764,2.543623,3.8271,1.88382,1.2718115,1.91355,0.61618,-1.2281885,4.0,1.0,1.0,2.0,6.0,7.0,4.0,9.20099,6.848517999999999,6.9742999999999995,2.3002475,1.7121294999999999,1.7435749999999999,-0.8002474999999998,-0.03787050000000014
Fiorentina,6.0,1.0,4.0,1.0,7.0,7.0,7.0,9.963393,7.384041999999999,9.8972,1.6605655,1.2306736666666664,1.6495333333333333,-0.4938988333333332,0.0640069999999997,3.0,1.0,2.0,0.0,4.0,3.0,5.0,5.931963,2.647602,6.208699999999999,1.9773209999999999,0.882534,2.0695666666666663,-0.6439876666666666,-0.11746599999999996,3.0,0.0,2.0,1.0,3.0,4.0,2.0,4.03143,4.73644,3.6885000000000003,1.3438100000000002,1.5788133333333334,1.2295,-0.34381000000000017,0.24548000000000014
Bologna,6.0,1.0,4.0,1.0,7.0,9.0,7.0,7.993796,8.772153000000001,7.862299999999999,1.3322993333333333,1.4620255000000002,1.3103833333333332,-0.16563266666666654,-0.0379744999999998,3.0,0.0,3.0,0.0,3.0,3.0,3.0,4.845388,4.536411,4.4555,1.6151293333333332,1.512137,1.4851666666666665,-0.6151293333333332,0.5121370000000001,3.0,1.0,1.0,1.0,4.0,6.0,4.0,3.148408,4.235742,3.4067999999999996,1.0494693333333334,1.4119140000000001,1.1356,0.2838639999999999,-0.5880859999999999
Verona,6.0,2.0,0.0,4.0,10.0,11.0,6.0,7.645969,9.918216000000001,6.504600000000001,1.2743281666666666,1.6530360000000002,1.0841,0.39233850000000015,-0.1802973333333331,3.0,1.0,0.0,2.0,5.0,6.0,3.0,3.4617630000000004,4.3035060000000005,3.4366,1.1539210000000002,1.4345020000000002,1.1455333333333333,0.5127456666666665,-0.5654979999999998,3.0,1.0,0.0,2.0,5.0,5.0,3.0,4.184206,5.6147100000000005,3.068,1.3947353333333332,1.8715700000000002,1.0226666666666666,0.2719313333333335,0.20490333333333344
Genoa,6.0,1.0,2.0,3.0,4.0,10.0,5.0,6.690655,12.415571,4.9719999999999995,1.1151091666666666,2.0692618333333335,0.8286666666666666,-0.44844249999999997,0.4025951666666667,4.0,0.0,2.0,2.0,3.0,8.0,2.0,5.641499,9.67917,3.232,1.41037475,2.4197925,0.808,-0.6603747499999999,0.4197924999999998,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.049156,2.7364010000000003,1.74,0.524578,1.3682005000000002,0.87,-0.02457799999999999,0.36820050000000015
Cagliari,6.0,1.0,2.0,3.0,4.0,10.0,5.0,10.059421,11.168159999999999,7.3046999999999995,1.6765701666666668,1.8613599999999997,1.21745,-1.0099035,0.19469333333333294,4.0,0.0,2.0,2.0,1.0,7.0,2.0,4.909791,5.84105,4.6466,1.22744775,1.4602625,1.16165,-0.9774477500000001,-0.2897375,2.0,1.0,0.0,1.0,3.0,3.0,3.0,5.14963,5.32711,2.6581,2.574815,2.663555,1.32905,-1.074815,1.1635550000000001
Parma Calcio 1913,6.0,1.0,2.0,3.0,10.0,12.0,5.0,12.12257,12.650210000000001,8.4404,2.0204283333333333,2.1083683333333334,1.4067333333333334,-0.35376166666666653,0.1083683333333334,4.0,1.0,1.0,2.0,7.0,8.0,4.0,8.16628,9.05653,5.3265,2.04157,2.2641325,1.331625,-0.2915700000000001,0.2641325000000001,2.0,0.0,1.0,1.0,3.0,4.0,1.0,3.95629,3.59368,3.1139,1.978145,1.79684,1.55695,-0.47814500000000004,-0.20316
Lecce,6.0,1.0,2.0,3.0,3.0,11.0,5.0,7.943159999999999,11.966328,6.0891,1.3238599999999998,1.994388,1.01485,-0.8238599999999998,0.1610546666666668,3.0,1.0,1.0,1.0,3.0,6.0,4.0,5.48384,6.60572,3.3585,1.8279466666666666,2.2019066666666665,1.1195,-0.8279466666666666,0.20190666666666646,3.0,0.0,1.0,2.0,0.0,5.0,1.0,2.45932,5.360608,2.7306,0.8197733333333334,1.7868693333333334,0.9102,-0.8197733333333334,0.12020266666666668
Venezia,6.0,1.0,1.0,4.0,4.0,10.0,4.0,7.064959999999999,9.36924,6.858599999999999,1.1774933333333333,1.56154,1.1430999999999998,-0.5108266666666667,-0.10512666666666681,2.0,1.0,0.0,1.0,2.0,1.0,3.0,2.9706420000000002,2.197807,3.2662999999999993,1.4853210000000001,1.0989035,1.6331499999999997,-0.4853210000000001,0.5989035,4.0,0.0,1.0,3.0,2.0,9.0,1.0,4.0943179999999995,7.171433,3.5923,1.0235794999999999,1.79285825,0.898075,-0.5235794999999999,-0.4571417499999999
Monza,6.0,0.0,3.0,3.0,4.0,8.0,3.0,2.442667,8.274262,3.5861,0.4071111666666667,1.3790436666666668,0.5976833333333333,0.25955549999999994,0.04571033333333352,3.0,0.0,1.0,2.0,2.0,4.0,1.0,1.3265500000000001,3.9214189999999998,1.9778,0.4421833333333334,1.3071396666666666,0.6592666666666667,0.22448333333333326,-0.02619366666666667,3.0,0.0,2.0,1.0,2.0,4.0,2.0,1.116117,4.352843,1.6083,0.372039,1.4509476666666667,0.5361,0.2946276666666666,0.11761433333333349
